Campaign_Date,Channel,Impressions,Clicks,Conversion_Rate
2024-03-01,Email,12000,450,0.0375
2024-03-02,Social,25000,820,0.0328
2024-03-03,Search,18500,,0.0411
2024-03-04,Display,32000,310,0.0097
2024-03-05,Email,14000,520,0.0371
2024-03-06,,21000,740,0.0352
2024-03-07,Search,19000,790,
2024-03-08,Social,28000,910,0.0325
2024-03-09,Display,30500,290,0.0095
2024-03-10,Email,11500,430,0.0374
2024-03-11,Social,26500,870,0.0328
2024-03-12,Search,20000,840,0.0420
2024-03-13,Display,,330,0.0102
2024-03-14,Email,13200,490,0.0371
2024-03-15,Social,24000,780,0.0325
2024-03-16,Search,17500,710,0.0406
2024-03-17,Display,31000,300,0.0097
2024-03-18,Email,12800,470,0.0367
2024-03-19,Social,27500,890,0.0324
2024-03-20,Search,22000,920,0.0418
