Date,Region,Product,Units_Sold,Revenue
2024-01-01,North,Widget A,15,300.00
2024-01-02,South,Widget B,8,200.00
2024-01-03,East,Widget A,22,440.00
2024-01-04,West,Widget C,5,150.00
2024-01-05,North,Widget B,12,300.00
2024-01-06,East,,18,360.00
2024-01-07,South,Widget C,10,
2024-01-08,West,Widget A,25,500.00
2024-01-09,North,Widget B,,250.00
2024-01-10,East,Widget C,14,420.00
2024-01-11,South,Widget A,19,380.00
2024-01-12,West,Widget B,7,175.00
2024-01-13,North,Widget C,30,900.00
2024-01-14,East,Widget A,16,320.00
2024-01-15,South,Widget B,11,275.00
2024-01-16,West,Widget C,9,270.00
2024-01-17,North,Widget A,20,400.00
2024-01-18,East,Widget B,13,325.00
2024-01-19,South,Widget C,21,630.00
2024-01-20,West,Widget A,24,480.00
2024-01-20,West,Widget A,24,480.00
